Common_Name,Species,Phylum,Class,Order,Family,Accesory_glands_number,Combined_Accessory_gland_mass_(g),Acessory_glands_%BW,Male_Body_mass_(g),Combined_testis_mass_(g),testis_%BW,Combined_epididymis_weight_(g),epidydymis_%BW,Seminiferous_epithelium_cycle_length_(days),spermatogenesis_lenght_(days),epididymal_transit/maturation_length_(days),sperm_head_length_(um),sperm_head_tail,Sperm_number_cauda_(M),Sperm_Concentration_ejaculate_(M/ml),Ejaculate_volume_(mL),Total_sperm_ejaculate_(M),Motility,Normal,Viability,earliest_puberty_age _M_(months),Male_Body_mass_(g)
Bull,Bos Taurus,Chordata,Mammalia,Artiodactyla,Bovidae,4,84.4,0.01,759085,699,0.09,36.6,0,13.4,60.3,8.9,6.77,53.53,44887.5,1300,6,7800,60,90,67,10.50,759085.00
Water Buffalo,Bubalus bubalis,Chordata,Mammalia,Artiodactyla,Bovidae,4,9.43,0,680000,652,0.1,64,0.01,8.6,38.7,9.3,7.59,63.73,6545.45,1423.78,4.24,6036.83,74.8,85.43,85,24.00,680000.00
Goat,Capra hircus,Chordata,Mammalia,Artiodactyla,Bovidae,4,19.2,0.08,25420,156.8,0.62,17.14,0.07,10.6,47.7,,8.27,59.39,23680,1877,1.55,2909.35,67,93,65,7.50,25420.00
Iberian Ibex,Capra pyrenaica,Chordata,Mammalia,Artiodactyla,Bovidae,4,,,50000,39.64,0.08,52.52,0.11,NA,NA,,6.44,64.3,1193.65,933.53,0.99,921.08,71.29,88.67,62.59,18.00,50000.00
Sheep,Ovis Aries,Chordata,Mammalia,Artiodactyla,Bovidae,4,20.19,0.04,57173,222.99,0.39,39.36,0.07,10.4,46.8,14.9,8.2,64.68,135750,5102.26,0.75,3826.7,80.5,80,75.2,6.15,57173.00
Mouflon ,Ovis musimon,Chordata,Mammalia,Artiodactyla,Bovidae,4,11.95,0.03,41000,105.85,0.26,,,NA,NA,,9,67,NA,857,1.23,1056.97,63.1,51.65,65.08,7.00,41000.00
Bison,Bison bison,Chordata,Mammalia,Artiodactyla,Bovidae,4,,,731400,481.68,0.07,,,NA,NA,,8.05,70.06,NA,641.78,3.47,2223.75,78.4,74,64,16.50,731400.00
Scimitar Oryx,Oryx dammah,Chordata,Mammalia,Artiodactyla,Bovidae,4,48.4,0.03,152000,80.33,0.05,,,NA,NA,,7.5,59.5,2290,780,7.7,6006,77.5,76,87,21.00,152000.00
Brown-throated sloth,Bradypus variegatus,Chordata,Mammalia,Pilosa,Bradypodidae,1,,,5258.33,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.00,5258.33
Maned sloth,Bradypus torquatus,Chordata,Mammalia,Pilosa,Bradypodidae,,,,5750,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.00,5750.00
Pale-throated sloth,Bradypus tridactylus,Chordata,Mammalia,Pilosa,Bradypodidae,2,,,4600,,,,,,,,4.74,33.23,NA,91.93,0.05,4.14,80,NA,NA,36.00,4600.00
Bactrian Camel,Camelus bactrianus,Chordata,Mammalia,Artiodactyla,Camelidae,3,30,0,816000,182,0.02,28,0,NA,NA,,5.62,42.9,NA,415,8.2,3403,62,91.7,86,48.00,816000.00
Dromedary Camel,Camelus dromedarius,Chordata,Mammalia,Artiodactyla,Camelidae,3,26.75,0,650000,193.8,0.03,15.3,0,13.49,60.71,4.26,5.81,49,2197.4,403,8.5,3425.5,83,89.3,59,36.00,650000.00
Llama,Lama glama,Chordata,Mammalia,Artiodactyla,Camelidae,3,,,133000,41.8,0.03,25,0.02,NA,NA,,5.3,49.47,NA,85.7,3.3,282.81,33,52,64,36.00,133000.00
Alpaca,Vicugna pacos,Chordata,Mammalia,Artiodactyla,Camelidae,3,,,145500,34,0.02,25,0.02,NA,NA,,5.75,45,NA,27.25,1.84,50.14,29.67,60.16,69.88,30.00,145500.00
Vicuna,Vicugna vicugna,Chordata,Mammalia,Artiodactyla,Camelidae,3,,,50000,,,,,NA,NA,,5.02,40,NA,50.53,1.45,73.27,28.08,64.39,NA,24.00,50000.00
Guanaco,Lama guanicoe,Chordata,Mammalia,Artiodactyla,Camelidae,3,,,120000,,,,,NA,NA,,6.05,56,NA,275,3,825,60,NA,NA,24.00,120000.00
Grey Wolf,Canis lupus,Chordata,Mammalia,Carnivora,Canidae,1,,,42872,44.28,0.1,,,,54,,5.55,56.3,NA,126.51,15,1897.7,89,77,87,7.00,42872.00
Coyote,Canis latrans,Chordata,Mammalia,Carnivora,Canidae,,,,12300,15.4,0.13,,,13.6,61.2,14,NA,NA,NA,384.94,1.33,513.25,78.7,78.8,73.94,9.00,12300.00
African Wild/painted Dog,Lycaon pictus,Chordata,Mammalia,Carnivora,Canidae,,,,26000,,,,,,,,NA,NA,NA,212,0.6,127.2,69.5,76.2,81,21.30,26000.00
