Common_Name,Species,Phylum,Class,Order,Family,Chromossome_number_F,Chromossome_number_M,Genes_coding,Genes_non_coding,SRY,Lifespan,Diet,Accesory_glands_number,B,P,S,A,CG,Combined_Accessory_gland_mass,Acessory_glands_BW,Male_Body_mass,Combined_testis_mass,testis_BW,Testis_location,epidydydmis,Combined_epididymis_weight,epidydymis_BW,Penis_Bulbus_glands,penis,penis_bone,Penis_morphology,Ejaculation_site,Ejaculate_characteristics,Fractioned_Ejaculate,Seminiferous_epithelium_cycle_length,spermatogenesis_lenght,epididymal_transit/maturation_length,sperm_head_length,sperm_size_total,sperm_head_shape,Sperm_number_cauda,Sperm_Concentration_ejaculate,Ejaculate_collection_method,Ejaculate_volume,Total_sperm_ejaculate,Motility,Normal,Viability,Sperm_storage,Intromission_duration,Multiple_intromission,mating_strategy,Induced_ovulation,solitary_group,offspring_number,seasonality,multiples_males,earliest_puberty_age_M,earliest_puberty_age_F,Female_Body_Mass,multiple_ovulation,oocyte_stage_ovulation,diapause,oviduct,oviduct_lenght,internal_external_fertilization,Cycle_Length,Length_receptvivity,reproductive_senescence_F,gestation_length,Combined_ovary_weight,ovary_BW,uterus_morphology,folliculogenesis_length,placenta_morphology,placenta_molecular,Age_eyes_open,Lactation_length,Endangered_Status,Population,Hemisphere
Bull,Bos taurus,Chordata,Mammalia,Artiodactyla,Bovidae,60,60,21880,5235,,22,H,4,Y,Y,Y,Y,N,84.4,0.011,759085,699,0.09,E,Y,36.6,0,N,Y,N,F,V,N,N,13.4,60.3,8.9,6.77,53.53,P,44887.5,1300,AV,6,7800,60,90,67,2.1,2.50,N,SP,N,G,S,N,N,10.5,8.7,327500,N,MII,N,Y,227.5,I,21,1,,283,15.53,0.0047,BC,90,C,SE,0,43,LC,1430000000,A
Water Buffalo,Bubalus arnee,Chordata,Mammalia,Artiodactyla,Bovidae,50,50,20801,8443,,29,H,4,Y,Y,Y,Y,N,9.425,0.001,680000,652,0.1,E,Y,64,0.01,N,Y,N,F,V,N,N,8.6,38.7,9.3,7.59,63.73,P,6545.45,1423.78,AV,4.24,6036.83,74.8,85.43,85,,0.50,N,SP,N,G,S,W,N,24,15,800000,N,MII,N,Y,210,I,21,1.265,,315,7,0.0009,BC,,C,SE,0,38,LC,208098759,A
Goat,Capra hircus,Chordata,Mammalia,Artiodactyla,Bovidae,60,60,21361,5688,,18,H,4,Y,Y,Y,Y,N,19.2,0.076,25420,156.8,0.62,E,Y,17.14,0.07,N,Y,N,F,V,N,N,10.6,47.7,,8.27,59.39,P,23680,1877,AV,1.55,2909.35,67,93,65,,0.50,N,SP,N,G,M,W,N,7.5,7.2,25000,Y,MII,N,Y,189.08,I,21,1.17,,150.4,1.25,0.005,BC,,C,SE,0,40,LC,1000000000,A
Iberian Ibex,Capra pyrenaica,Chordata,Mammalia,Artiodactyla,Bovidae,60,60,NA,NA,,16,H,4,Y,Y,Y,Y,N,,,50000,39.64,0.08,E,Y,52.52,0.11,N,Y,N,F,V,N,N,NA,NA,,6.44,64.3,P,1193.65,933.53,EE,0.99,921.08,71.29,88.67,62.59,,,,SP,N,G,M,W,Y,18,18,31300,Y,,N,Y,,I,19.4,NA,,164.5,,,BC,,C,SE,0,14,LC,50000,N
Sheep,Ovis aries,Chordata,Mammalia,Artiodactyla,Bovidae,54,54,21257,8720,,22.8,H,4,Y,Y,Y,Y,N,20.19,0.035,57173,222.99,0.39,E,Y,39.36,0.07,N,Y,N,F,V,N,N,10.4,46.8,14.9,8.2,64.68,R,135750,5102.26,AV,0.75,3826.7,80.5,80,75.2,2,0.50,N,MM,N,G,M,W,N,6.2,5.8,47500,Y,MII,N,Y,198,I,17,1.25,,145,1.79,0.0038,BC,168.5,C,SE,0,21,LC,1200000000,A
Mouflon,Ovis gmelini,Chordata,Mammalia,Artiodactyla,Bovidae,54,54,21257,8720,,20,H,4,Y,Y,Y,Y,N,11.95,0.029,41000,105.85,0.26,E,Y,,,N,Y,N,F,V,N,N,NA,NA,,9,67,O,NA,857,EE,1.23,1056.97,63.1,51.65,65.08,,,,SP,N,G,S,W,Y,7,8.28,35000,,,N,,,I,17,1.5,,155,,,BC,,,,0,12,,7000,N
Bison,Bison bison,Chordata,Mammalia,Artiodactyla,Bovidae,60,60,20782,1677,,25,H,4,Y,Y,Y,Y,N,,,731400,481.68,0.07,E,Y,,,N,Y,N,F,,N,N,NA,NA,,8.05,70.06,R,NA,641.78,EE,3.47,2223.75,78.4,74,64,,5.00,N,SP,N,G,S,S,Y,16.5,24,452800,N,MII,N,Y,25.26,I,20.8,NA,,273.15,,,BC,,C,SE,0,,NT,30000,N
Scimitar Oryx,Oryx dammah,Chordata,Mammalia,Artiodactyla,Bovidae,58,58,21161,7559,,27.5,H,4,Y,Y,Y,Y,N,48.4,0.032,152000,80.33,0.05,E,Y,,,N,Y,N,F,,N,N,NA,NA,,7.5,59.5,P,2290,780,EE,7.7,6006,77.5,76,87,,,N,SP,N,G,S,S,N,21,21,115000,N,MII,N,Y,,I,22.7,0.002,,270,,,BC,,C,EC,0,15,EW,1800,N
Bactrian Camel,Camelus bactrianus,Chordata,Mammalia,Artiodactyla,Camelidae,74,74,20062,9180,,35.4,H,3,Y,Y,N,Y,N,30,0.004,816000,182,0.02,E,Y,28,0,N,Y,N,F,C,N,,NA,NA,,5.62,42.9,R,NA,415,AV,8.2,3403,62,91.7,86,2,180.00,N,SP,Y,G,S,W,N,48,48,450000,N,MII,N,Y,230,I,28,5,,400,12.4,0.0028,BC,,V,EC,0,65,LC,1000,N
Dromedary Camel,Camelus dromedarius,Chordata,Mammalia,Artiodactyla,Camelidae,74,74,NA,NA,,45,H,3,Y,Y,N,Y,N,26.75,0.004,650000,193.8,0.03,E,Y,15.3,0,N,Y,N,F,C,G,,13.49,60.71,4.26,5.81,49,R,2197.4,403,AV,8.5,3425.5,83,89.3,59,,1920.00,N,SP,Y,G,S,W,N,36,24,361000,N,MII,N,Y,220,I,22,3.5,,389.4,7,0.0019,BC,,V,EC,0,69,LC,15000000,A
Llama,Lama glama,Chordata,Mammalia,Artiodactyla,Camelidae,74,74,NA,NA,,16,H,3,Y,Y,N,Y,N,,,133000,41.8,0.03,E,Y,25,0.02,N,Y,N,F,U,,Y,NA,NA,,5.3,49.47,R,NA,85.7,AV,3.3,282.81,33,52,64,,1200.00,N,SP,Y,G,S,W,N,36,12,104600,N,MII,N,Y,140,I,16,NA,,348.5,,,BC,,V,EC,0,27,LC,39599,S
Alpaca,Vicugna pacos,Chordata,Mammalia,Artiodactyla,Camelidae,74,74,19504,8644,,25.8,H,3,Y,Y,N,Y,N,,,145500,34,0.02,E,Y,25,0.02,N,Y,N,F,U,,,NA,NA,,5.75,45,P,NA,27.25,AV,1.84,50.14,29.67,60.16,69.88,,803.91,,SP,Y,G,S,N,N,30,12,60000,N,,N,Y,204,I,18,NA,,350,25.9,0.0432,BC,,V,EC,0,49,LC,3000000,S
Vicuna,Vicugna vicugna,Chordata,Mammalia,Artiodactyla,Camelidae,74,74,NA,NA,,17,H,3,Y,Y,N,Y,N,,,50000,,,E,Y,,,,Y,N,F,,,,NA,NA,,5.02,40,P,NA,50.53,EE,1.45,73.27,28.08,64.39,NA,,1500.00,,SP,Y,G,S,S,N,24,24,50000,N,,N,Y,,I,37,35,,341.8,,,BC,,V,EC,0,56,LC,343499,S
