Common_Name,Species,Phylum,Class,Order,Family,earliest_puberty_age_F_(months),Female_Body_Mass_(g),oviduct_lenght_(mm),Cycle_Length_(days),Length_receptvivity_(days),reproductive_senescence_F_(months),gestation_length_(days),Combined_ovary_weight_(g),ovary_%BW,folliculogenesis _length_(days),Age_eyes_open_(days),Lactation_length_(weeks)
Bull,Bos Taurus,Chordata,Mammalia,Artiodactyla,Bovidae,8.70,327500.00,227.50,21.00,1.00,,283.00,15.53,0.00,90.00,0.00,43.00
Water Buffalo,Bubalus bubalis,Chordata,Mammalia,Artiodactyla,Bovidae,15.00,800000.00,210.00,21.00,1.27,,315.00,7.00,0.00,,0.00,38.00
Goat,Capra hircus,Chordata,Mammalia,Artiodactyla,Bovidae,7.20,25000.00,189.08,21.00,1.17,,150.40,1.25,0.00,,0.00,40.00
Iberian Ibex,Capra pyrenaica,Chordata,Mammalia,Artiodactyla,Bovidae,18.00,31300.00,,19.40,,,164.50,,,,0.00,14.00
Sheep,Ovis Aries,Chordata,Mammalia,Artiodactyla,Bovidae,5.80,47500.00,198.00,17.00,1.25,,145.00,1.79,0.00,168.50,0.00,21.00
Mouflon ,Ovis musimon,Chordata,Mammalia,Artiodactyla,Bovidae,8.28,35000.00,,17.00,1.50,,155.00,,,,0.00,12.00
Bison,Bison bison,Chordata,Mammalia,Artiodactyla,Bovidae,24.00,452800.00,25.26,20.80,NA,,273.15,,,,0.00,
Scimitar Oryx,Oryx dammah,Chordata,Mammalia,Artiodactyla,Bovidae,21.00,115000.00,,22.70,0.00,,270.00,,,,0.00,15.00
Brown-throated sloth,Bradypus variegatus,Chordata,Mammalia,Pilosa,Bradypodidae,36.00,6313.33,24.50,60.00,NA,,165.00,,,,0.00,16.00
Maned sloth,Bradypus torquatus,Chordata,Mammalia,Pilosa,Bradypodidae,24.00,7500.00,75.00,NA,NA,,106.00,,,,0.00,16.00
Pale-throated sloth,Bradypus tridactylus,Chordata,Mammalia,Pilosa,Bradypodidae,36.00,3500.00,,NA,NA,,247.00,,,,0.00,
Bactrian Camel,Camelus bactrianus,Chordata,Mammalia,Artiodactyla,Camelidae,48.00,450000.00,230.00,28.00,5.00,,400.00,12.40,0.00,,0.00,65.00
